,digit_id,customer_id,gender,dob,status,verified,language,created_at,updated_at
1,1,ZGFSYCZ,Male,,1,1,EN,2/9/2018 12:04,2/9/2018 12:04
5,2,IL9MJSW,Male,,1,1,EN,3/16/2018 18:22,3/16/2018 18:22
8,3,Y39V6UD,Male,,1,1,EN,3/22/2018 19:55,3/22/2018 19:55
12,4,FJ8AF4X,Male,,1,1,EN,4/25/2018 16:39,4/25/2018 16:39
15,5,VTHMCR3,Male,,1,1,EN,4/30/2018 1:09,4/30/2018 1:09
17,6,ICN6274,Male,,1,1,EN,4/30/2018 20:41,4/30/2018 20:41
24,7,6IP4MC6,Male,,1,1,EN,5/4/2018 20:45,5/4/2018 20:45
41,8,ZDP0JV6,Male,,1,1,EN,5/8/2018 18:01,5/8/2018 18:01
50,9,NDYLK9A,Female,1990,1,1,EN,5/10/2018 16:50,5/10/2018 16:50
74,10,6YT13BS,Male,,1,1,EN,5/12/2018 23:21,5/12/2018 23:21
76,11,7NGMW1A,Male,,1,1,EN,5/13/2018 2:00,5/13/2018 2:00
81,12,6QHK8GD,Male,,1,1,EN,5/13/2018 8:40,5/13/2018 8:40
86,13,CIVPXLC,Male,,1,1,EN,5/13/2018 17:05,5/13/2018 17:05
90,14,BBJ3LU6,Male,,1,1,EN,5/13/2018 20:50,5/13/2018 20:50
104,15,LYUH1JP,Male,,1,1,EN,5/16/2018 4:11,5/16/2018 4:11
109,16,JHLR9GG,Female,1986,1,1,EN,5/16/2018 18:43,12/5/2019 1:03
117,17,X2SRCVC,Female,1979,1,1,EN,5/17/2018 18:25,5/17/2018 18:25
127,18,JIB0U73,Male,,1,1,EN,5/19/2018 9:29,5/19/2018 9:29
135,19,TI2FHS7,Male,,1,1,EN,5/20/2018 22:42,5/20/2018 22:42
146,20,FT64I8W,Female,2000,1,1,EN,5/21/2018 21:27,1/5/2020 3:28
156,21,HX76ORD,Female,1997,1,1,EN,5/22/2018 21:06,3/21/2020 16:51
185,22,1Z39OE6,Female,1989,1,1,EN,5/25/2018 1:59,3/20/2020 17:25
186,23,JNVC68C,Female,1998,1,1,EN,5/25/2018 4:33,3/21/2020 17:47
192,24,U7U874K,Male,,1,1,EN,5/25/2018 17:53,5/25/2018 17:53
211,25,JF2B2KU,Male,,1,1,EN,5/27/2018 1:42,5/27/2018 1:42
213,26,5COK58C,Male,,1,1,EN,5/27/2018 19:03,5/27/2018 19:03
253,27,EQ4MMC5,Male,,1,1,EN,6/1/2018 16:01,6/1/2018 16:01
288,28,J7QM9B3,Male,,1,1,EN,6/3/2018 19:01,6/3/2018 19:01
310,29,3Q4ZI86,Male,,1,1,EN,6/5/2018 22:02,6/5/2018 22:02
343,30,72K2FSG,Male,,1,1,EN,6/10/2018 2:34,6/10/2018 2:34
364,31,BUIAFFT,Male,,1,1,EN,6/12/2018 4:43,6/12/2018 4:43
365,32,IVRFSLY,Male,,1,1,EN,6/12/2018 16:13,6/12/2018 16:13
371,33,AF9UQD1,Male,,1,1,EN,6/13/2018 23:56,6/13/2018 23:56
402,34,8PBQKLH,Male,,1,1,EN,6/20/2018 1:08,6/20/2018 1:08
408,35,1P5RQ9H,Male,,1,1,EN,6/20/2018 3:00,6/20/2018 3:00
433,36,ANAUZO1,Male,,1,1,EN,6/21/2018 21:08,6/21/2018 21:08
435,37,6UKK89C,Male,,1,1,EN,6/21/2018 22:39,6/21/2018 22:39
436,38,ERER3MP,Male,,1,1,EN,6/21/2018 23:24,6/21/2018 23:24
480,39,M3V1TPR,Male,,1,1,EN,6/25/2018 21:31,6/25/2018 21:31
524,40,P56P3ZA,Male,,1,1,EN,6/28/2018 1:28,6/28/2018 1:28
557,41,BQG3CJO,Male,,1,1,EN,6/28/2018 18:27,6/28/2018 18:27
