,customer_id,location_number,location_type,latitude,longitude
1,02SFNJH,1,,1.6791365450962032,0.7668233053886399
2,02SFNJH,2,,-0.4986483973653315,0.6612414365454651
3,RU43CXC,0,Home,0.1008532520270913,0.4381654655391503
4,BDFBPRD,0,,2.523125243914389,0.7334637242284848
5,WMGKW6W,0,,12.66341321723571,-1.429919200187407
7,NDYLK9A,1,,-0.2043711434422961,0.4355927487568151
8,PB2B28D,0,Home,2.5756051968780787,0.7082701813272576
9,U9YKW1T,0,Work,0.1000169880961674,0.0043574215499831
10,GC6WIE3,0,,0.875032932008317,0.5365400531075206
11,K9BE00O,0,,-0.8204825849423131,-0.1215030811704574
12,AY5F3Q6,0,,-0.2328497155092143,0.8312066210941839
13,4YWW8U8,0,,-0.2096115384615531,0.2725356818181831
14,4YWW8U8,1,Home,-0.5755555773730608,0.2365548488417778
16,393VD80,1,,-0.2485850000192577,0.8255716590909121
17,393VD80,2,Home,1.7764091758879548,0.7249986956305003
18,CYDS6WV,0,,0.2949077822307549,0.3734099295999972
20,HTIXECY,1,,0.7288572179808029,0.5216224720386294
21,J5B49B8,0,Other,-0.5020729209203852,0.1092373353062443
22,JD179G0,0,Work,-1.2560592005769382,-0.0903996344318263
23,UX1LKED,0,,-1.744332069626786,-0.3498256335204193
24,MRF3NLR,0,Home,0.0753711538461493,0.0005681818181845
26,FQ6BD1J,1,,0.04350696934616,-0.0085013919045484
28,8S4TR8P,1,,-0.3030295619615582,0.6885944994204449
29,8S4TR8P,2,Other,-0.2572492152307305,0.5351635424340915
30,8S4TR8P,3,Other,-0.4066493339233604,0.6331922816876427
32,WEW8WR3,1,Home,-0.8967209075053987,0.1460546160286092
34,QPS70WF,1,,-0.1968149700337495,0.535835211249914
35,O66VIR7,0,,13.61905964812695,-1.4276248446919817
38,YUET89W,0,Home,-1.094440099595763,0.1012502956119417
39,R8SXYD0,0,Other,0.127834615384588,0.5435047727272645
41,2KH6OSP,1,,-1.866021153846185,-0.0039831818182052
42,2KH6OSP,2,,-0.0324478658845817,0.6199950927772784
44,XGE7RDS,1,,-0.0580521919230342,-0.0084628085659071
45,XGE7RDS,2,,-0.0353971103846173,0.0207624229500038
46,MWCJAZ1,0,Home,-0.0936483689231509,-0.0076780604159216
50,P9PGO2N,3,Other,-0.1210958780000053,-0.0057338398750126
52,3H2T1BZ,1,Home,-0.4314233291346067,0.7786938861250007
53,3H2T1BZ,2,Work,-0.6036378990498038,0.7372990509976456
55,C09U37P,1,,-1.4378352613077157,-0.029248724479542
58,AFO9DXF,1,Home,0.1576418784230439,0.5187822324590864
61,UVI4WJ1,2,Home,0.0304724579230665,0.0002307974999963
62,IINNUEK,0,,-0.586738807500713,0.1408153551762297
64,T4K1PCQ,1,,-0.656528844673091,0.867647499568189
65,9NUOTF0,0,,-1.9269034222307408,0.0039302877340865
66,9NUOTF0,1,Home,-1.2284615384615,-0.1164972727272719
67,9NUOTF0,2,,0.0008711538461543,0.4873872727272683
69,7SI55PG,0,,-0.126855769230576,0.6028402954545018
70,P8K43OP,0,,-0.4446165539598475,0.0894325741312525
72,IHVLOYG,1,Home,-1.2699784529450169,0.088583217449506
73,1CWKZMW,0,Home,-0.6844311325371556,0.739482203315383
74,Z7UDW2C,0,,-0.4010257448461486,0.0418888994863634
76,BWXS6P5,0,,0.0358073421730539,0.6292964795772866
77,476VE6Z,0,Other,-0.7789266365614509,0.2319249280474537
78,9C9M88T,0,Work,0.0662655676154222,-0.0095839587818376
79,6QBK6AC,0,,0.6118953901850461,0.5416088185527259
80,L1NOLK9,0,,12.622399283234826,-1.4541589021682853
81,QYP289E,0,,0.1575984322495474,0.4523125941102978
84,OVXWFT1,2,Home,0.5948347768845627,0.5106965547659241
85,OVXWFT1,3,,-0.3907489731910868,0.6431692913174624
87,YM39DF1,0,,-1.5009365384615516,0.0410140909090924
88,KXMA33E,0,Other,-2.181744776715263,-0.6227533546361127
89,2HCXH0Y,0,Home,0.6443365384615514,0.5637254545454595
91,M1Z6RLM,1,,-1.2531093951539023,-0.0414390901363538
92,M1Z6RLM,2,Home,0.2767162307499699,0.3007676051227179
93,M1Z6RLM,3,Other,0.1342572945751269,0.0490599945187693
94,6YA9PQX,0,Home,-0.6153447959192888,0.7486086744078083
95,6YA9PQX,1,Home,-0.5041011420600048,0.6623508957299314
96,H148LZ3,0,,-0.2462948452693153,0.7793783784931765
97,6CZCAST,0,Home,0.5844895071731114,0.4784483208113527
98,6CZCAST,1,Home,-0.4348522744038689,0.7342510517568136
99,KYB6NMT,0,,-0.5159577195298485,0.1727243079380687
101,40J25PH,1,,-0.0380041266731398,-0.0039307626818282
103,VE588ND,1,Work,-0.1233439967115028,0.6060284359272862
104,0II5U7A,0,Home,-0.0953202167500302,-0.0043172832227191
105,F4S32I3,0,Work,-0.5008932990961642,0.6709408224977347
106,F4S32I3,1,Home,-0.2847765454870631,0.7310796806543257
108,ED5IA8H,0,,-0.1290276041680408,0.0031881244345106
112,30Q7VES,0,Home,-0.5555676839542398,-0.1504549718235192
113,JHUJILJ,0,,1.6297508846154043,0.5833596590909126
114,WGBP82V,0,,0.7216819875167958,0.0926162894326963
115,Y6ZNCOS,0,,-0.2919848133328578,0.0466574362733111
116,Y6ZNCOS,1,,0.1000437132315712,0.8720912587913606
117,6LGNE1B,0,Home,-0.2148235446774337,0.2697890326380866
118,6LGNE1B,1,,-0.5936886976613802,0.2215008884668323
